time,high,low,open,volume,close,macd,macds,macdh,rs_5,rsi_5,stochrsi_5,wt1,wt2,change,vr,wr,trix,tema,cci,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj
1677844800,22373.95,22335.29,22353.64,43321603.88,22354.46,0.0,0.0,0.0,,,,,,0.0,100.0,-50.41386445939388,0.0,22354.46,,49.58613554060612,49.86204518020203,49.86204518020203,49.954015060067334,49.954015060067334,49.67810542047144,49.67810542047144
1677848400,22422.63,22216.58,22354.46,85377318.81,22412.67,1.3059935897435935,0.7255519943019964,0.5804415954415971,inf,100.0,,-121.21212121212122,-121.21212121212122,0.2603954647081519,494.15585372366866,-4.8337782091738895,0.04138374102746502,22408.944560000004,-66.66666666666667,95.16622179082611,64.96343738374338,64.96343738374338,54.95715583462601,54.95715583462601,84.97600048197813,84.97600048197813
1677852000,22473.49,22372.88,22412.67,66087341.01,22389.82,0.9555179231392685,0.8198003257926816,0.13571759734658695,2.0379868708972553,67.08346538361917,0.0,25.754737501197095,-47.72869185546206,-0.10195126238863317,121.9833459164961,-32.56782530847454,0.024523474001459943,22396.5677792098,100.00000000000459,67.43217469152546,65.78634981967073,65.78634981967073,58.56688716297424,58.56688716297424,80.22527513306372,80.22527513306372
1677855600,22415.64,22286.76,22389.82,71181941.49,22340.74,-0.9993173054099316,0.20356806590019752,-1.202885371310129,0.553064133016644,35.611158693258986,0.0,-12.329561957493006,-35.928981889472375,-0.21920676450278842,67.34918761740765,-51.671791678019574,0.009847622499627022,22352.76744080502,-53.917735139888194,48.32820832198043,59.966969320440626,59.966969320440626,59.03358121546303,59.03358121546303,61.83374553039582,61.83374553039582
1677859200,22384.6,22329.66,22340.74,30127063.38,22381.94,-0.4010645654088876,0.02370352779064107,-0.42476809319952863,1.317612826603323,56.8521545738253,32.98862885166184,-10.545944794581827,-29.58322261574974,0.1844164517379232,86.30536163955995,-35.63504729282743,0.005489105255679951,22370.572312766162,-2.4425953844467023,64.36495270717256,61.432963782684595,61.432963782684595,59.83337540453688,59.83337540453688,64.63214053898002,64.63214053898002
1677862800,22446.93,22379.32,22381.94,31163600.71,22420.46,1.6132428986784362,0.454557073980628,1.1586858246978082,2.2111327197150126,68.85834105017155,51.635006442384665,23.7320180496952,6.652812199704366,0.17210304379333685,105.91373271656963,-20.641469775408705,0.0062975521374720855,22406.732905654928,104.43956785954462,79.35853022459129,67.4081525966535,67.4081525966535,62.358301135242414,62.358301135242414,77.50785551947564,77.50785551947564
1677866400,22423.17,22269.28,22420.46,57157624.06,22318.9,-1.723588790573558,-0.0966735366939505,-1.6269152538796077,0.5605232964288012,35.91893166295803,0.9257114374236715,-1.8309558839748628,-0.24361114658862354,-0.45297910926000995,77.89836173860857,-60.17282316764635,0.002769024450789864,22346.24807849885,-83.0347084953962,39.82717683235365,58.214494008553544,58.214494008553544,60.97703209301279,60.97703209301279,52.689417839635055,52.689417839635055
1677870000,22392.62,22301.87,22318.9,29902807.8,22363.32,-1.8207171625763294,-0.5109936406410568,-1.3097235219352727,0.9686503501109004,49.203778114093915,40.88352292509032,-9.58906025743461,0.44151427842597535,0.19902414545518443,91.73663509879832,-42.88272157564982,0.0005995920746678296,22353.66538722778,-40.84342563118004,57.11727842435018,57.84875548048576,57.84875548048576,59.93427322217044,59.93427322217044,53.6777199971164,53.6777199971164
1677873600,22379.47,22290.72,22363.32,28301956.07,22310.61,-4.475408711776254,-1.4267931896378734,-3.0486155221383804,0.6033819128945948,37.63182732960395,5.200140799460829,-23.57566356887135,-2.815915415146405,-0.23569845622205543,81.11291980730263,-63.399634113113976,-0.0025943498595594377,22320.341308070867,-101.16479905636363,36.600365886886024,50.765958949285846,50.765958949285846,56.87816846454224,56.87816846454224,38.541539918773054,38.541539918773054
1677877200,22316.44,22169.76,22310.61,67429614.73,22245.08,-9.668870870209503,-3.273497042038664,-6.395373828170839,0.3804410612001124,27.55938459765669,0.0,-45.96222759094894,-20.23947682530744,-0.29371675628769855,63.57259021475776,-75.20165936851726,-0.007665158354587043,22260.950259833873,-242.30373930655378,24.79834063148275,42.11008617668482,42.11008617668482,51.95547436858976,51.95547436858976,22.419309792874927,22.419309792874927
